arm,step,train_loss
qformer,155,3.21819
qformer,156,3.36697
qformer,157,3.03564
qformer,158,3.62908
qformer,159,3.97333
qformer,160,2.87388
qformer,161,3.64067
qformer,162,2.87549
qformer,163,2.98690
qformer,164,3.42940
qformer,165,3.91796
qformer,166,3.43988
qformer,167,2.94654
qformer,168,2.99509
qformer,169,3.57525
qformer,170,3.01449
qformer,171,3.33785
qformer,172,2.74948
qformer,173,3.28453
qformer,174,3.35228
qformer,175,3.24214
qformer,176,3.06198
qformer,177,3.17750
qformer,178,2.95328
qformer,179,3.96503
qformer,180,2.94454
qformer,181,3.35210
qformer,182,3.21823
qformer,183,2.78661
qformer,184,3.30692
qformer,185,3.41295
qformer,186,3.33670
qformer,187,3.26613
qformer,188,3.45643
qformer,189,3.43798
qformer,190,3.28182
qformer,191,3.53391
qformer,192,3.40942
qformer,193,3.24658
qformer,194,3.06238
qformer,195,3.19261
qformer,196,3.22510
qformer,197,3.29395
qformer,198,3.28662
qformer,199,2.98197
qformer,200,3.65535
qformer,201,2.66640
qformer,202,3.18474
qformer,203,3.10246
qformer,204,2.80032
qformer,205,3.12436
qformer,206,3.16580
qformer,207,3.33562
qformer,208,2.93896
qformer,209,3.00659
qformer,210,3.42760
qformer,211,3.27631
qformer,212,3.00916
qformer,213,3.01546
qformer,214,3.62500
qformer,215,3.35666
qformer,216,3.08779
qformer,217,3.01343
qformer,218,3.13325
qformer,219,3.24195
qformer,220,3.35824
qformer,221,3.38198
qformer,222,3.46186
qformer,223,3.61040
qformer,224,3.52373
qformer,225,3.57711
qformer,226,3.54288
qformer,227,3.38395
qformer,228,2.98257
qformer,229,3.00656
qformer,230,2.54585
qformer,231,2.84636
qformer,232,3.37626
qformer,233,3.05179
qformer,234,3.45497
qformer,235,3.67167
qformer,236,3.40667
qformer,237,2.87099
qformer,238,3.23459
qformer,239,3.10387
qformer,240,3.49170
qformer,241,3.22902
qformer,242,2.86081
qformer,243,3.07522
qformer,244,2.97992
qformer,245,3.13975
qformer,246,3.54246
qformer,247,3.45768
qformer,248,3.64114
qformer,249,3.44714
