experiment,where,mean_abs_e,max_abs_e,lap_time,L,w_rate,diverged,best_L,R,steady_offset,sagitta_prediction,cut_distance,omega_needed,v,min_stable_L,adaptive_L,adaptive_e,fixed_L,fixed_e,v0.5,v1.0,v1.5,v2.0,v2.5,pose_sigma,ctrl_hz,tuned_on,tracker,gain,evaluated_on,scenario,finished
6_rate,,,1.5008,,0.3,16.018,1,,,,,,,,,,,,,,,,,,0.02,50.0,,,,,,
6_rate,,,1.5094,,0.4,10.967,1,,,,,,,,,,,,,,,,,,0.02,50.0,,,,,,
6_rate,,,0.0194,,0.5,6.465,0,,,,,,,,,,,,,,,,,,0.02,50.0,,,,,,
6_rate,,,0.015,,0.65,3.903,0,,,,,,,,,,,,,,,,,,0.02,50.0,,,,,,
6_rate,,,0.0241,,0.8,2.646,0,,,,,,,,,,,,,,,,,,0.02,50.0,,,,,,
6_rate,,,0.0412,,1.0,1.764,0,,,,,,,,,,,,,,,,,,0.02,50.0,,,,,,
6_rate,,,0.062,,1.2,1.281,0,,,,,,,,,,,,,,,,,,0.02,50.0,,,,,,
6_rate,,,0.1181,,1.6,0.796,0,,,,,,,,,,,,,,,,,,0.02,50.0,,,,,,
6_rate,,,0.1999,,2.0,0.564,0,,,,,,,,,,,,,,,,,,0.02,50.0,,,,,,
6_min_stable_L,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.02,50.0,,,,,,
6_rate,,,1.5088,,0.15,8.571,1,,,,,,,,,,,,,,,,,,0.02,20.0,,,,,,
6_rate,,,1.5048,,0.2,5.838,1,,,,,,,,,,,,,,,,,,0.02,20.0,,,,,,
6_rate,,,1.5035,,0.25,3.325,1,,,,,,,,,,,,,,,,,,0.02,20.0,,,,,,
6_rate,,,1.5137,,0.3,2.805,1,,,,,,,,,,,,,,,,,,0.02,20.0,,,,,,
6_rate,,,1.4189,,0.4,1.708,0,,,,,,,,,,,,,,,,,,0.02,20.0,,,,,,
